Algorithm,Train_Score,Test_Score,Overfit_Gap,Metric,Rank
LogisticRegression,0.7903798367057153,0.8097941802696949,-0.0194143435639795,accuracy,1
SVC_RBF,0.7907348242811502,0.808374733853797,-0.0176399095726468,accuracy,2
SGDClassifier,0.7891373801916933,0.8076650106458482,-0.0185276304541548,accuracy,3
LinearSVC,0.7909123180688676,0.8069552874378992,-0.0160429693690316,accuracy,4
GradientBoostingClassifier,0.7962371317003905,0.8062455642299503,-0.0100084325295598,accuracy,5
RidgeClassifier,0.7893148739794107,0.8026969481902059,-0.0133820742107951,accuracy,6
SVC_Poly,0.7902023429179978,0.8026969481902059,-0.012494605272208,accuracy,7
NuSVC,0.7884274050408235,0.8005677785663591,-0.0121403735255355,accuracy,8
AdaBoostClassifier,0.7914447994320198,0.7998580553584103,-0.0084132559263904,accuracy,9
DecisionTreeClassifier,0.8010294639687611,0.7977288857345636,0.0033005782341974,accuracy,10
ExtraTreesClassifier,0.8029818956336529,0.7977288857345636,0.0052530098990892,accuracy,11
BaggingClassifier,0.8029818956336529,0.7963094393186657,0.0066724563149871,accuracy,12
RandomForestClassifier,0.8029818956336529,0.7963094393186657,0.0066724563149871,accuracy,13
KNeighborsClassifier,0.7823926162584309,0.7672107877927609,0.01518182846567,accuracy,14
Perceptron,0.7344692935747249,0.7352732434350603,-0.0008039498603353,accuracy,15
PassiveAggressiveClassifier,0.7344692935747249,0.7352732434350603,-0.0008039498603353,accuracy,16
BernoulliNB,0.7344692935747249,0.7352732434350603,-0.0008039498603353,accuracy,17
MultinomialNB,0.6863684771033014,0.7012065294535131,-0.0148380523502117,accuracy,18
CategoricalNB,0.688675896343628,0.7004968062455642,-0.0118209099019361,accuracy,19
ComplementNB,0.6757188498402555,0.6912704045422285,-0.015551554701973,accuracy,20
GaussianNB,0.5851970181043663,0.5982966643009227,-0.0130996461965563,accuracy,21
